Sex,Age,AI1,AI2,AI3,AI4,AI3,PCGPA,Failures,Reason,Test Preparation Course,Traveltime,Studytime,Medu,Fedu,Mjob,Fjob,Activities,Internet,Freetme,Absence,CGPA
F,18,67,67,63,80,63,9.02,0,course,none,2,2,4,4,at_home,teacher,no,no,3,6,9.45
F,17,67,59,55,43,55,6.87,0,course,completed,1,2,1,1,at_home,other,no,yes,3,4,6.21
F,15,67,60,50,54,50,5.76,3,other,none,1,2,1,1,at_home,other,no,yes,3,10,7.89
F,15,67,78,68,82,68,8.43,0,home,none,1,3,4,2,health,services,yes,yes,2,2,5.76
F,16,67,73,68,74,68,7.54,0,home,none,1,2,3,3,other,other,no,no,3,4,8.43
M,16,67,77,76,63,76,9.21,0,reputation,none,1,2,4,3,services,other,yes,yes,4,10,6.87
M,16,67,59,63,47,63,5.32,0,home,completed,1,2,2,2,other,other,no,yes,4,0,7.32
F,17,67,88,84,13,84,8.65,0,home,none,2,2,4,4,other,teacher,no,no,1,6,9.01
M,15,67,56,65,67,65,6.21,0,home,completed,1,2,3,2,services,other,no,yes,2,0,5.98
M,15,67,42,45,57,45,7.98,0,home,none,1,2,3,4,other,other,yes,yes,5,0,8.54
F,15,67,83,85,67,85,9.12,0,reputation,none,1,2,4,4,teacher,health,no,yes,3,0,6.32
F,15,67,87,90,67,90,5.45,0,reputation,none,3,3,2,1,services,other,yes,yes,2,4,7.65
M,15,67,87,85,67,85,8.34,0,course,none,1,1,4,4,health,services,yes,yes,3,2,9.12
M,15,67,74,73,67,73,6.43,0,course,completed,2,2,4,3,teacher,other,no,yes,4,2,5.43
M,15,67,87,85,67,85,7.76,0,home,none,1,3,2,2,other,other,no,yes,5,0,8.76
F,16,67,61,57,67,57,9.56,0,home,none,1,1,4,4,health,other,no,yes,4,4,6.54
F,16,67,47,42,67,42,5.89,0,reputation,none,1,3,4,4,services,services,yes,yes,2,6,7.21
F,16,67,62,65,67,65,8.01,0,reputation,none,3,2,3,3,other,other,yes,no,3,4,9.34
M,17,67,44,44,67,44,6.54,3,course,completed,1,1,3,2,services,services,yes,yes,5,16,5.11
M,16,67,32,31,67,31,7.32,0,home,none,1,1,4,3,health,other,yes,yes,1,4,8.9
M,15,67,76,88,67,88,9.43,0,reputation,none,1,2,4,3,teacher,other,no,yes,4,0,6.43
